0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Year
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2018
SNo.,District,2018-2019,Paid Liability of previous years,2018-2019,Paid Liability of previous years,2018-2019,Paid Liability of previous years,2018-2019,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2018
1,ALLURI SITHARAMA RAJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
2,ANAKAPALLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
3,ANANTAPUR,44356.13,1130.46,16838.63,2118.72,3213.9,265.93,64408.67,3515.11,67923.78,309093,542876,22272815,72.06,203.66,87300,64576,296.17,2018
4,ANNAMAYYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
5,BAPATLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
6,CHITTOOR,34858.71,1514.78,18316.24,837.04,2718.93,281.42,55893.88,2633.25,58527.13,279240,453979,17464333,62.54,203.14,85506,104525,325.89,2018
7,EAST GODAVARI,41436.07,1057.43,25723.73,10153.33,3100.89,232.11,70260.7,11442.87,81703.57,416822,617476,20800688,49.9,204.93,94504,99265,344.8,2018
8,ELURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
9,GUNTUR,19686.77,780.38,18274.79,9253.53,2039.24,193.04,40000.8,10226.96,50227.76,295101,492866,10136623,34.35,199.43,62533,80787,424.75,2018
10,KAKINADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
11,KONASEEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
12,KRISHNA,18159.77,532.47,17232.35,7298.21,1741.33,171.15,37133.45,8001.84,45135.29,246011,409513,9246014,37.58,200.74,59225,75149,412.51,2018
13,KURNOOL,33441.72,1075.89,17768.55,6609.19,2868.69,254.85,54078.96,7939.93,62018.89,326767,582267,17490139,53.52,196.07,77942,79211,316.03,2018
14,NANDYAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
15,NELLORE,27541.35,1057.06,12206.07,5500.23,2087.28,168.66,41834.7,6725.96,48560.65,246030,383426,14504855,58.96,198.13,104366,56770,297.99,2018
16,NTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
17,PALNADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
18,PARVATHIPURAM MANYAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
19,PRAKASAM,56634.31,1607.9,32000.81,5853.33,3067.46,264.68,91702.58,7725.91,99428.5,434135,720788,30003008,69.11,196.57,89143,70280,316.93,2018
20,SRI SATHYA SAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
21,SRIKAKULAM,45740.56,1256.33,14099.73,2730.72,3248.01,278.58,63088.31,4265.64,67353.94,395580,618996,24821820,62.75,192.66,53052,70579,263.78,2018
22,TIRUPATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
23,VISAKHAPATANAM,41682.09,1351.34,20067.13,2967.17,2457.57,290.63,64206.79,4609.14,68815.93,337485,569948,22067127,65.39,196.45,98098,118702,300.54,2018
24,VIZIANAGARAM,48242.84,1048.83,11028.14,5620.43,2456.08,282.07,61727.06,6951.34,68678.39,372796,616837,26140237,70.12,194.34,82285,63892,247.47,2018
25,WEST GODAVARI,28387.97,1225.42,17235.75,8360.72,1934.06,390.23,47557.78,9976.38,57534.16,332494,522977,14765215,44.41,198.77,88613,80297,332.17,2018
26,Y.S.R,33719.89,712.89,13899.52,2298.07,2703.76,195.16,50323.16,3206.12,53529.29,235267,377593,16795384,71.39,205.8,96181,63082,306.52,2018
,Total,473888.18,14351.18,234691.44,69600.69,33637.2,3268.51,742216.84,87220.45,829437.28,4226821,6909542,246508258,58.32,198.83,1078748,1027115,310.9,2018
SNo.,District,Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Cumulative Expenditure (Rs. in Lakhs),Employment Provided,Employment Provided,Employment Provided,Average days of employment provided per HH,Average Wage per personday (In Rs.),Works,Works,Cost Per Personday(in Rs.),2019
SNo.,District,On Unskilled Wage,On Unskilled Wage,On Material,On Material,Adm.Exp,Adm.Exp,Total,Total,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2019
SNo.,District,2019-2020,Paid Liability of previous years,2019-2020,Paid Liability of previous years,2019-2020,Paid Liability of previous years,2019-2020,Paid Liability of previous years,Total,Household,Persons,Persondays,Average days of employment provided per HH,Average Wage per personday (In Rs.),comp.,In-prog.,Cost Per Personday(in Rs.),2019
1,ALLURI SITHARAMA RAJU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,ANAKAPALLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,ANANTAPUR,39041.69,1015.01,2434.28,1684.57,3097.49,389.54,44573.46,3089.12,47662.58,320550,559077,18789622,58.62,208.73,21153,71610,240.36,2019
4,ANNAMAYYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
5,BAPATLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
6,CHITTOOR,24786.61,633.12,2902.81,2120.58,2647.34,304.03,30336.76,3057.73,33394.49,235441,365548,11996793,50.95,207.31,34277,95949,256.87,2019
7,EAST GODAVARI,39626.61,1195.47,6993.49,3095.89,3078.24,358.59,49698.33,4649.95,54348.28,399713,585542,19132358,47.87,208.03,50864,93555,262.94,2019
8,ELURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
9,GUNTUR,17116.2,541.86,6698.47,1051.92,2178.7,305,25993.37,1898.78,27892.14,285372,474861,8587042,30.09,200.35,35641,82445,308.18,2019
10,KAKINADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
11,KONASEEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
12,KRISHNA,14758.86,395.26,6413.96,1585.14,1786.69,299.99,22959.51,2280.39,25239.9,226434,370809,7372251,32.56,201.27,38745,70254,316.75,2019
13,KURNOOL,25273.66,863.6,2302.94,1154.17,3040.01,318.3,30616.62,2336.07,32952.69,316658,549244,12763758,40.31,199.17,33554,77190,243.7,2019
14,NANDYAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
15,NELLORE,15508.01,1225.01,5519.43,803.05,2047.03,264.57,23074.46,2292.63,25367.09,211354,318602,7744318,36.64,200.88,14498,56451,302.06,2019
16,NTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
17,PALNADU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
18,PARVATHIPURAM MANYAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
19,PRAKASAM,38477.65,2397.53,2670.82,1963.86,2952.15,350.12,44100.63,4711.51,48812.14,422306,695279,19510266,46.2,197.81,25084,63364,229.14,2019
